Node,Step,Graph,Correlation
5,16,IG,0.5974706301117687
5,16,EG,0.5629275778364624
5,17,IG,0.5974706301117687
5,17,EG,0.5629275778364624
5,18,IG,0.5974706301117687
5,18,EG,0.5629275778364624
5,19,IG,0.5974706301117687
5,19,EG,0.5629275778364624
5,20,IG,0.5974706301117687
5,20,EG,0.5629275778364624
6,1,IG,0.9403246919632544
6,1,EG,0.9873684210526316
6,2,IG,0.44457999797497244
6,2,EG,0.24170111948151698
6,3,IG,0.5290969632774657
6,3,EG,0.5205875053243136
6,4,IG,0.6139280202487937
6,4,EG,0.7825558134509213
6,5,IG,0.6331855493801984
6,5,EG,0.7262882556397455
6,6,IG,0.641984288221239
6,6,EG,0.6549718215980732
6,7,IG,0.5968969663884087
6,7,EG,0.5864525903452683
6,8,IG,0.5968969663884087
6,8,EG,0.5864525903452683
6,9,IG,0.5974706301117687
6,9,EG,0.5945300237905788
6,10,IG,0.5974706301117687
6,10,EG,0.5945300237905788
6,11,IG,0.5974706301117687
6,11,EG,0.5945300237905788
6,12,IG,0.5974706301117687
6,12,EG,0.5945300237905788
6,13,IG,0.5974706301117687
6,13,EG,0.5945300237905788
6,14,IG,0.5974706301117687
6,14,EG,0.5945300237905788
6,15,IG,0.5974706301117687
6,15,EG,0.5945300237905788
6,16,IG,0.5974706301117687
6,16,EG,0.5945300237905788
6,17,IG,0.5974706301117687
6,17,EG,0.5945300237905788
6,18,IG,0.5974706301117687
6,18,EG,0.5945300237905788
6,19,IG,0.5974706301117687
6,19,EG,0.5945300237905788
6,20,IG,0.5974706301117687
6,20,EG,0.5945300237905788
7,1,IG,0.6813851438692469
7,1,EG,0.9999999999999999
7,2,IG,0.5557189302262112
7,2,EG,0.6049925972941722
7,3,IG,0.4871773518462232
7,3,EG,0.6824152215978407
7,4,IG,0.3582488604159193
7,4,EG,0.7841568470556856
7,5,IG,0.35877686197055475
7,5,EG,0.778300849536592
7,6,IG,0.36037498507822363
7,6,EG,0.7888106377466156
7,7,IG,0.36037498507822363
7,7,EG,0.7888106377466156
7,8,IG,0.36037498507822363
7,8,EG,0.7888106377466156
7,9,IG,0.36037498507822363
7,9,EG,0.7888106377466156
7,10,IG,0.36037498507822363
7,10,EG,0.7888106377466156
7,11,IG,0.36037498507822363
7,11,EG,0.7888106377466156
