Node,Step,Graph,Correlation
4,13,EG,0.7979477252286147
4,14,IG,0.6491863828951437
4,14,EG,0.7988387732916336
4,15,IG,0.6378560763952709
4,15,EG,0.7958805689129818
4,16,IG,0.6491746529076482
4,16,EG,0.8027757390814676
4,17,IG,0.6491746529076482
4,17,EG,0.8028956601682413
4,18,IG,0.6491707430531116
4,18,EG,0.8039341316527902
4,19,IG,0.6491746529076482
4,19,EG,0.8022420902453239
4,20,IG,0.6491746529076482
4,20,EG,0.7989022879786722
5,1,IG,0.8487137431241294
5,1,EG,0.8488588571260427
5,2,IG,0.8305858236028101
5,2,EG,0.8388277696733202
5,3,IG,0.7239291520828479
5,3,EG,0.7602182108702822
5,4,IG,0.6575997010850628
5,4,EG,0.7276269680081251
5,5,IG,0.5840925724340287
5,5,EG,0.7309860663692758
5,6,IG,0.542690100333244
5,6,EG,0.7275214701298991
5,7,IG,0.5160840941336213
5,7,EG,0.7295707711551406
5,8,IG,0.5675299674032437
5,8,EG,0.7540507490533349
5,9,IG,0.577973273586481
5,9,EG,0.757719357643013
5,10,IG,0.5884780516195246
5,10,EG,0.7552587193709827
5,11,IG,0.5990201074197509
5,11,EG,0.7538029760143556
5,12,IG,0.5884816091730434
5,12,EG,0.7466095138560245
5,13,IG,0.5675507222156408
5,13,EG,0.7334320813393579
5,14,IG,0.5571503266131381
5,14,EG,0.735687231014263
5,15,IG,0.5571742088464526
5,15,EG,0.7390964727543932
5,16,IG,0.5571742088464526
5,16,EG,0.7422932307177823
5,17,IG,0.5571435036819474
5,17,EG,0.7395201511375928
5,18,IG,0.5571469151162096
5,18,EG,0.7401278116120661
5,19,IG,0.5675541815724239
5,19,EG,0.758475765874569
5,20,IG,0.5675645600223261
5,20,EG,0.7437643105742768
6,1,IG,0.8005368279510605
6,1,EG,0.800604346773121
6,2,IG,0.9144173421738485
6,2,EG,0.915624120935475
6,3,IG,0.8680433953958213
6,3,EG,0.9194593977901953
6,4,IG,0.89444129040674
6,4,EG,0.8993923472257124
6,5,IG,0.8711654161381466
6,5,EG,0.9029075702145866
6,6,IG,0.7744904151282158
6,6,EG,0.8059257278944865
6,7,IG,0.7048180800745111
6,7,EG,0.6677595559705715
6,8,IG,0.6161530617665147
6,8,EG,0.6568344633241646
6,9,IG,0.615397627719659
6,9,EG,0.6301283649009698
6,10,IG,0.6266163336364011
6,10,EG,0.6358259439100322
6,11,IG,0.6492372201895628
6,11,EG,0.6615408638180076
6,12,IG,0.649202023867617
6,12,EG,0.6799727446062969
6,13,IG,0.6266201366007281
6,13,EG,0.6848763662820149
6,14,IG,0.6266733853726676
6,14,EG,0.6979662054245828
6,15,IG,0.6154126310140531
6,15,EG,0.7051826663150048
6,16,IG,0.6154013784403848
6,16,EG,0.6996389107555638
6,17,IG,0.6154013784403848
6,17,EG,0.6649217469224888
6,18,IG,0.6042560675212217
6,18,EG,0.6520365064087598
6,19,IG,0.6266315459091693
6,19,EG,0.6719062171151655
6,20,IG,0.6266125307413141
6,20,EG,0.6864569765683662
7,1,IG,0.6935536855226727
7,1,EG,0.6935536855226727
7,2,IG,0.9144173421738485
7,2,EG,0.9154627146597013
7,3,IG,0.9346749410524168
7,3,EG,0.9301241820708406
7,4,IG,0.8827290931629721
7,4,EG,0.863164698634247
7,5,IG,0.8109130060644143
7,5,EG,0.8277293071098205
7,6,IG,0.6623988081165356
7,6,EG,0.7599489811740766
7,7,IG,0.6491746529076482
7,7,EG,0.7243593404400508
7,8,IG,0.6491981135185124
7,8,EG,0.715870813296642
7,9,IG,0.6491785628328309
7,9,EG,0.70186637181886
7,10,IG,0.6491785628328309
7,10,EG,0.690485792140146
7,11,IG,0.6491902930322779
7,11,EG,0.6905762193165044
7,12,IG,0.6491785628328309
7,12,EG,0.7044626789847628
7,13,IG,0.6491785628328309
7,13,EG,0.7332798896991463
7,14,IG,0.6491863828951437
7,14,EG,0.7450352055472476
7,15,IG,0.6378907801030448
7,15,EG,0.7301685704894728
7,16,IG,0.649182472828662
7,16,EG,0.7381171842492662
7,17,IG,0.6491746529076482
7,17,EG,0.7378504627021083
7,18,IG,0.6491863828951437
7,18,EG,0.7352914411892149
7,19,IG,0.6491785628328309
7,19,EG,0.7272178422517386
7,20,IG,0.649202023867617
7,20,EG,0.7146998490378027
8,1,IG,0.7026171689305275
8,1,EG,0.7026171689305275
8,2,IG,0.852520830430807
8,2,EG,0.8528077869817022
8,3,IG,0.9078256423840629
8,3,EG,0.9081629646202249
8,4,IG,0.9273053885224112
8,4,EG,0.9272185503814007
8,5,IG,0.9383477149896547
8,5,EG,0.9359512875632703
8,6,IG,0.9390066733544074
8,6,EG,0.9327182032844532
8,7,IG,0.9390066733544074
8,7,EG,0.9330631525605325
8,8,IG,0.8982011786314612
8,8,EG,0.8907707474910892
8,9,IG,0.9390066733544074
8,9,EG,0.9364880060873201
8,10,IG,0.9390066733544074
8,10,EG,0.936635841491354
8,11,IG,0.9390066733544074
8,11,EG,0.9380649170636826
8,12,IG,0.8982011786314612
8,12,EG,0.8938800273009934
8,13,IG,0.9390066733544074
8,13,EG,0.9384591448077731
8,14,IG,0.9390066733544074
8,14,EG,0.9368083161293936
8,15,IG,0.9390066733544074
8,15,EG,0.9380649170636826
8,16,IG,0.9390066733544074
8,16,EG,0.9389272902538809
8,17,IG,0.9390066733544074
8,17,EG,0.9384591448077731
8,18,IG,0.9390066733544074
8,18,EG,0.9366604807253597
8,19,IG,0.9390066733544074
8,19,EG,0.9380649170636826
8,20,IG,0.9390066733544074
8,20,EG,0.9391490433599318
9,1,IG,0.8005368279510605
9,1,EG,0.8003410333882259
9,2,IG,0.9144173421738485
9,2,EG,0.8379227867797265
9,3,IG,0.9324103993623177
9,3,EG,0.8949477107575126
9,4,IG,0.9381555433026771
9,4,EG,0.9472137411219081
9,5,IG,0.9276582820441175
9,5,EG,0.949975155278082
9,6,IG,0.8855643371608791
9,6,EG,0.9416257558636261
9,7,IG,0.8109130060644143
9,7,EG,0.9197516719684086
9,8,IG,0.6977231803032387
9,8,EG,0.8918095788503287
9,9,IG,0.6378599320830977
9,9,EG,0.8698290516658723
9,10,IG,0.649182472828662
9,10,EG,0.8670799797555883
9,11,IG,0.6378637878408453
9,11,EG,0.8665786179929102
9,12,IG,0.6378599320830977
9,12,EG,0.866465257753016
9,13,IG,0.6378522207773629
9,13,EG,0.8648930401808474
9,14,IG,0.649182472828662
9,14,EG,0.8668641256416466
9,15,IG,0.6491902930322779
9,15,EG,0.8619638278418879
9,16,IG,0.6378753555336356
9,16,EG,0.8582747491188515
9,17,IG,0.6491902930322779
9,17,EG,0.8675820984301614
9,18,IG,0.6492059342873827
9,18,EG,0.8735991658075274
9,19,IG,0.6491863828951437
9,19,EG,0.875833342484849
9,20,IG,0.6491981135185124
9,20,EG,0.8719097360683223
